A,B,C,D
-7690.00,8862179.00,71376985.09,14166519.23
-7220.00,8495908.76,22840635.23,14166519.23
-7240.00,8495908.76,47119962.81,14166519.23
-7260.00,7592442.17,47119962.81,14166519.23
-7350.00,9704760.70,22840635.23,14166519.23
-7410.00,8495908.76,71376985.09,14166519.23
-7430.00,8495908.76,71376985.09,14166519.23
-7480.00,9255580.37,149100000.00,17735814.59
-7490.00,8495908.76,85200000.00,14166519.23
-7500.00,8495908.76,22840635.23,14166519.23
-7510.00,8495908.76,22840635.23,14166519.23
-7510.00,9676112.86,8922123.14,14166519.23
-8250.00,9255580.37,8922123.14,14166519.23
-7920.00,8862179.00,22840635.23,14166519.23
-8070.00,9704760.70,40149554.11,14166519.23
-8090.00,10123776.49,92300000.00,14166519.23
-8210.00,9255580.37,163300000.00,17735814.59
-8220.00,9255580.37,80577924.57,14166519.23
-8240.00,9255580.37,80577924.57,14166519.23
-7820.00,8862179.00,22840635.23,14166519.23
-7830.00,9255580.37,54648004.21,14166519.23
-7870.00,8862179.00,54648004.21,14166519.23
-7920.00,9704760.70,22840635.23,14166519.23
-7920.00,8862179.00,80577924.57,14166519.23
-7970.00,8862179.00,163300000.00,14166519.23
-7980.00,9255580.37,163300000.00,17735814.59
-7980.00,9255580.37,92300000.00,14166519.23
-7980.00,8862179.00,22840635.23,14166519.23
-8030.00,9255580.37,22840635.23,14166519.23
-8060.00,9255580.37,8922123.14,14166519.23
-8770.00,9676112.86,8922123.14,14166519.23
-8380.00,9676112.86,22840635.23,14166519.23
-8620.00,9676112.86,40149554.11,14166519.23
-8700.00,9676112.86,106500000.00,14166519.23
-8710.00,9676112.86,117150000.00,24010520.74
-8750.00,9676112.86,88750000.00,14166519.23
-8770.00,11215421.95,88750000.00,14166519.23
-8250.00,9255580.37,22840635.23,14166519.23
-8330.00,9676112.86,62733678.30,14166519.23
-8360.00,9676112.86,62733678.30,14166519.23
-8380.00,9676112.86,22840635.23,14166519.23
-8460.00,9255580.37,88750000.00,14166519.23
-8480.00,9676112.86,88750000.00,14166519.23
-8510.00,9676112.86,117150000.00,24010520.74
-8580.00,9676112.86,106500000.00,14166519.23
-8580.00,9676112.86,22840635.23,14166519.23
-8600.00,9255580.37,22840635.23,14166519.23
-8620.00,11215421.95,8922123.14,14166519.23
-9330.00,10598571.24,8922123.14,14166519.23
-8900.00,10123776.49,40149554.11,14166519.23
-9180.00,10123776.49,40149554.11,14166519.23
-9180.00,10123776.49,106500000.00,14166519.23
-9230.00,10912095.93,117150000.00,24010520.74
-9300.00,10123776.49,95850000.00,14166519.23
-9330.00,11215421.95,95850000.00,14166519.23
-8780.00,9676112.86,40149554.11,14166519.23
-8780.00,10123776.49,62733678.30,14166519.23
-8840.00,9676112.86,62733678.30,14166519.23
-8850.00,9676112.86,40149554.11,14166519.23
-8970.00,10627219.08,95850000.00,14166519.23
-8990.00,9676112.86,95850000.00,14166519.23
-9000.00,9676112.86,117150000.00,24010520.74
-9040.00,10123776.49,106500000.00,14166519.23
-9130.00,10123776.49,40149554.11,14166519.23
-9130.00,10123776.49,22840635.23,14166519.23
-9170.00,10123776.49,8922123.14,14166519.23
-9990.00,11100497.13,0.00,0.00
-9490.00,11215421.95,0.00,0.00
-9750.00,10598571.24,77931132.76,17598408.40
-9760.00,10598571.24,171990000.00,17598408.40
-9770.00,10598571.24,179928000.00,29827153.94
-9970.00,10598571.24,136710000.00,17598408.40
-9980.00,11100497.13,0.00,#VÄRDEFEL!
-9370.00,10123776.49,0.00,#VÄRDEFEL!
-9380.00,10123776.49,0.00,#VÄRDEFEL!
-9410.00,10123776.49,0.00,#VÄRDEFEL!
-9440.00,10123776.49,0.00,#VÄRDEFEL!
-9500.00,11563243.03,0.00,#VÄRDEFEL!
-9580.00,10598571.24,0.00,0.00
-9580.00,10598571.24,179928000.00,29827153.94
-9580.00,10598571.24,171990000.00,17598408.40
-9590.00,10598571.24,77931132.76,17598408.40
-9690.00,10598571.24,49875924.97,17598408.40
-9740.00,10598571.24,11083538.88,17598408.40
-10600.00,11629554.14,9273981.51,14725198.87
-10160.00,10598571.24,56803136.77,14725198.87
-10430.00,11629554.14,74191852.11,14725198.87
-10500.00,12185742.28,125460000.00,14725198.87
-10500.00,11100497.13,165312000.00,24957414.52
-10500.00,0.00,114390000.00,14725198.87
-10500.00,11929513.27,166931667.24,43743487.02
-10010.00,11100497.13,166931667.24,43743487.02
-10040.00,11215421.95,166931667.24,43743487.02
-10050.00,11100497.13,166931667.24,43743487.02
-10110.00,11629554.14,166931667.24,43743487.02
-10180.00,11100497.13,166931667.24,43743487.02
-10210.00,11215421.95,114390000.00,14725198.87
-10250.00,11100497.13,165312000.00,24957414.52
-10270.00,11563243.03,125460000.00,14725198.87
-10360.00,11100497.13,74191852.11,14725198.87
-10390.00,11100497.13,48978214.87,14725198.87
-10390.00,11629554.14,9273981.51,14725198.87
-11400.00,0.00,9273981.51,14725198.87
-10800.00,11929513.27,56803136.77,14725198.87
-11100.00,0.00,74191852.11,14725198.87
-11100.00,12743447.13,125460000.00,14725198.87
-11100.00,12743447.13,165312000.00,24957414.52
-11300.00,0.00,121770000.00,14725198.87
-11400.00,12185742.28,166931667.24,43743487.02
-10700.00,11215421.95,166931667.24,43743487.02
-10700.00,11629554.14,166931667.24,43743487.02
-10800.00,0.00,166931667.24,43743487.02
-10800.00,0.00,166931667.24,43743487.02
-10800.00,11929513.27,166931667.24,43743487.02
-10900.00,11215421.95,121770000.00,14725198.87
-10900.00,11629554.14,165312000.00,24957414.52
-11000.00,12185742.28,125460000.00,14725198.87
-11000.00,11629554.14,74191852.11,14725198.87
-11000.00,11629554.14,48978214.87,14725198.87
-11000.00,0.00,9273981.51,14725198.87
-12300.00,13665905.51,9273981.51,14725198.87
-11600.00,0.00,74191852.11,14725198.87
-12100.00,0.00,81918000.00,14725198.87
-12200.00,12743447.13,140220000.00,14725198.87
-12200.00,12769061.56,180810000.00,24957414.52
-12200.00,0.00,136530000.00,14725198.87
-12300.00,12769061.56,166931667.24,43743487.02
-11400.00,12743447.13,166931667.24,43743487.02
-11500.00,11215421.95,166931667.24,43743487.02
-11500.00,13379511.95,166931667.24,43743487.02
-11600.00,12185742.28,166931667.24,43743487.02
-11700.00,12743447.13,166931667.24,43743487.02
-11700.00,13379511.95,136530000.00,14725198.87
-11800.00,12769061.56,180810000.00,24957414.52
-11800.00,0.00,180810000.00,14725198.87
-11900.00,0.00,180810000.00,14725198.87
-11900.00,13191110.76,180810000.00,14725198.87
-12100.00,12769061.56,9273981.51,14725198.87
-13400.00,14681806.14,23741392.67,14725198.87
-12600.00,13379511.95,180810000.00,14725198.87
-13000.00,0.00,180810000.00,14725198.87
-13100.00,13665905.51,180810000.00,14725198.87
-13200.00,14017093.48,180810000.00,24957414.52
-13200.00,0.00,180810000.00,14725198.87
-13300.00,14017093.48,180810000.00,43743487.02
-12400.00,13191110.76,180810000.00,43743487.02
-12400.00,0.00,180810000.00,43743487.02
-12500.00,0.00,180810000.00,43743487.02
-12600.00,13379511.95,180810000.00,43743487.02
-12700.00,13379511.95,180810000.00,43743487.02
-12700.00,13379511.95,180810000.00,14725198.87
-12700.00,0.00,180810000.00,24957414.52
-12900.00,13665905.51,140220000.00,14725198.87
-12900.00,0.00,81918000.00,14725198.87
-13000.00,13379511.95,56803136.77,14725198.87
-13000.00,13379511.95,23741392.67,14725198.87
-14700.00,0.00,23741392.67,14725198.87
-13600.00,0.00,83755645.54,14725198.87
-14500.00,15373649.93,98154000.00,14725198.87
-14500.00,15373649.93,147600000.00,14725198.87
-14600.00,15253076.55,212544000.00,24957414.52
-14600.00,0.00,147600000.00,14725198.87
-14600.00,15253076.55,166931667.24,43743487.02
-13400.00,0.00,166931667.24,43743487.02
-13500.00,14017093.48,166931667.24,43743487.02
-13600.00,14167831.40,166931667.24,43743487.02
-13600.00,14017093.48,166931667.24,43743487.02
-13800.00,14696888.41,166931667.24,43743487.02
-13900.00,14167831.40,147600000.00,14725198.87
-13900.00,14681806.14,212544000.00,24957414.52
-14000.00,14681806.14,147600000.00,14725198.87
-14000.00,14681806.14,98154000.00,14725198.87
-14200.00,14696888.41,65207682.52,14725198.87
-14300.00,14696888.41,23741392.67,14725198.87
-15900.00,0.00,23741392.67,14725198.87
-15000.00,0.00,83755645.54,14725198.87
-15500.00,0.00,98154000.00,14725198.87
-15700.00,16446846.22,154980000.00,14725198.87
-15800.00,15836395.83,212544000.00,24957414.52
-15800.00,0.00,158670000.00,14725198.87
-15800.00,17084427.75,166931667.24,43743487.02
-14700.00,15836395.83,166931667.24,43743487.02
-14900.00,15373649.93,166931667.24,43743487.02
-14900.00,16092624.84,166931667.24,43743487.02
