A,B,C,D
-80.90,101237.76,5112000000.00,141665.19
-82.10,92555.80,17892000000.00,177358.15
-82.20,92555.80,805779.25,141665.19
-82.40,92555.80,805779.25,141665.19
-78.20,88621.79,228406.35,141665.19
-78.30,92555.80,546480.04,141665.19
-78.70,88621.79,546480.04,141665.19
-79.20,97047.61,228406.35,141665.19
-79.20,88621.79,805779.25,141665.19
-79.70,88621.79,17892000000.00,141665.19
-79.80,92555.80,17892000000.00,177358.15
-79.80,92555.80,5112000000.00,141665.19
-79.80,88621.79,228406.35,141665.19
-80.30,92555.80,228406.35,141665.19
-80.60,92555.80,89221.23,141665.19
-87.70,96761.13,89221.23,141665.19
-83.80,96761.13,228406.35,141665.19
-86.20,96761.13,401495.54,141665.19
-87.00,96761.13,7100000000.00,141665.19
-87.10,96761.13,8255880000.00,240105.21
-87.50,96761.13,4473000000.00,141665.19
-87.70,112154.22,4473000000.00,141665.19
-82.50,92555.80,228406.35,141665.19
-83.30,96761.13,627336.78,141665.19
-83.60,96761.13,627336.78,141665.19
-83.80,96761.13,228406.35,141665.19
-84.60,92555.80,4473000000.00,141665.19
-84.80,96761.13,4473000000.00,141665.19
-85.10,96761.13,8255880000.00,240105.21
-85.80,96761.13,7100000000.00,141665.19
-85.80,96761.13,228406.35,141665.19
-86.00,92555.80,228406.35,141665.19
-86.20,112154.22,89221.23,141665.19
-93.30,105985.71,89221.23,141665.19
-89.00,101237.76,401495.54,141665.19
-91.80,101237.76,401495.54,141665.19
-91.80,101237.76,7100000000.00,141665.19
-92.30,109120.96,8255880000.00,240105.21
-93.00,101237.76,5396000000.00,141665.19
-93.30,112154.22,5396000000.00,141665.19
-87.80,96761.13,401495.54,141665.19
-87.80,101237.76,627336.78,141665.19
-88.40,96761.13,627336.78,141665.19
-88.50,96761.13,401495.54,141665.19
-89.70,106272.19,5396000000.00,141665.19
-89.90,96761.13,5396000000.00,141665.19
-90.00,96761.13,8255880000.00,240105.21
-90.40,101237.76,7100000000.00,141665.19
-91.30,101237.76,401495.54,141665.19
-91.30,101237.76,228406.35,141665.19
-91.70,101237.76,89221.23,141665.19
-99.90,111004.97,0.00,0.00
-94.90,112154.22,0.00,0.00
-97.50,105985.71,779311.33,175984.08
-97.60,105985.71,15435000000.00,175984.08
-97.70,105985.71,14780556000.00,298271.54
-99.70,105985.71,9261000000.00,175984.08
-99.80,111004.97,0.00,#VÄRDEFEL!
-93.70,101237.76,0.00,#VÄRDEFEL!
-93.80,101237.76,0.00,#VÄRDEFEL!
-94.10,101237.76,0.00,#VÄRDEFEL!
-94.40,101237.76,0.00,#VÄRDEFEL!
-95.00,115632.43,0.00,#VÄRDEFEL!
-95.80,105985.71,0.00,0.00
-95.80,105985.71,14780556000.00,298271.54
-95.80,105985.71,15435000000.00,175984.08
-95.90,105985.71,779311.33,175984.08
-96.90,105985.71,498759.25,175984.08
-97.40,105985.71,110835.39,175984.08
-106.00,116295.54,92739.82,147251.99
-101.60,105985.71,568031.37,147251.99
-104.30,116295.54,741918.52,147251.99
-105.00,121857.42,9741600000.00,147251.99
-105.00,111004.97,15911280000.00,249574.15
-105.00,-,7749000000.00,147251.99
